"url","name","address","city","cap","region","state","country","latitude","longitude","type"
"https://www.informazione-aziende.it/Azienda_COTONIFICIO-ALBINI-SPA","Cotonificio Albini S.p.a.","VIA DR. SILVIO ALBINI\, 1\, 24021\, Albino\, Bergamo","Albino",24021,"Bergamo","Lombardia","Italia",45.76145,9.80018,1
"https://www.informazione-aziende.it/Azienda_SOCIETA-INDUSTRIALE-CREMONESE-SICREM-SPA-ENUNCIABILE-ANCHE-IN-FORMA-ABBREVIATA-SICREM-SPA","Societa' Industriale Cremonese Sicrem Spa Enunciabile Anche In Forma Abbreviata \"sicrem Spa\"","VIA G.B. PIRELLI\, 56\, 26026\, Pizzighettone\, Cremona","Pizzighettone",26026,"Cremona","Lombardia","Italia",45.18398,9.7912,1
"https://www.informazione-aziende.it/Azienda_LIMONTA-SOCIETA-PER-AZIONI","Limonta - Societa' Per Azioni","VIA C.BATTISTI\, 15\, 23845\, Costa Masnaga\, Lecco","Costa Masnaga",23845,"Lecco","Lombardia","Italia",45.76601,9.2739,1
"https://www.informazione-aziende.it/Azienda_ALCANTARA-SPA","Alcantara S.p.a.","VIA MECENATE\, 86\, 20138\, Milano\, Milano","Milano",20138,"Milano","Lombardia","Italia",45.45111,9.25014,1
"https://www.informazione-aziende.it/Azienda_FULGAR-SPA","Fulgar S.p.a.","STRADA CASALOLDO\, 55\, 46042\, Castel Goffredo\, Mantova","Castel Goffredo",46042,"Mantova","Lombardia","Italia",45.28004,10.4675,1
"https://www.informazione-aziende.it/Azienda_NUOVA-TECNOFIBRA-SRL","Nuova Tecnofibra - S.r.l.","VIA DANTE\, 75\, 22070\, Carbonate\, Como","Carbonate",22070,"Como","Lombardia","Italia",45.67375,8.91681,1
"https://www.informazione-aziende.it/Azienda_TAY-SRL","Tay S.r.l.","VIA DEI MILLE\, 31\, 24067\, Sarnico\, Bergamo","Sarnico",24067,"Bergamo","Lombardia","Italia",45.66887,9.94566,1
"https://www.informazione-aziende.it/Azienda_TESSITURA-ORESTE-MARIANI-SPA","Tessitura Oreste Mariani S.p.a.","VIA ALFREDO CATALANI\, 75\, 20833\, Giussano\, Monza E Brianza","Giussano",20833,"Monza E Brianza","Lombardia","Italia",45.68048,9.20572,1
"https://www.informazione-aziende.it/Azienda_LISSONE-FARMACIE-SPA","Lissone Farmacie Spa.","VIA GIOSUE' CARDUCCI\, 24\, 20851\, Lissone\, Monza E Brianza","Lissone",20851,"Monza E Brianza","Lombardia","Italia",45.60444,9.23534,1
"https://www.informazione-aziende.it/Azienda_AZIENDA-SPECIALE-FARMACIA-MULTISERVIZI-COMUNALE-BRESSO","Azienda Speciale Farmacia Multiservizi Comunale Bresso","VIA PAPA GIOVANNI XXIII\, 43\, 20091\, Bresso\, Milano","Bresso",20091,"Milano","Lombardia","Italia",45.52865,9.18916,1
"https://www.informazione-aziende.it/Azienda_LAVENO-MOMBELLO-SRL","Laveno Mombello S.r.l.","VIALE G. GARIBALDI\, 11\, 21014\, Laveno-mombello\, Varese","Laveno-mombello",21014,"Varese","Lombardia","Italia",45.90863,8.61945,1
"https://www.informazione-aziende.it/Azienda_FARMACIA-COMUNALE-DI-VIADANA-SRL-IN-SIGLA-FCV-SRL","Farmacia Comunale Di Viadana S.r.l. In Sigla F.c.v. S.r.l.","LARGO DE GASPERI\, 1/3\, 46019\, Viadana\, Mantova","Viadana",46019,"Mantova","Lombardia","Italia",44.92683,10.52235,1
