A.s.c.   S.r.l.   Unipersonale,343,Textile
Azienda Speciale Farmaceutica,344,Textile
Ospitaletto Servizi S.r.l.,350,Textile
A. Parmiani,351,Textile
Nave Servizi Srl,352,Textile
Azienda Speciale Comune Di Melzo,353,Textile
Desenzano Azienda Speciale Servizi,356,Textile
Azienda Speciale Buccinasco A.s.b.,362,Textile
Azienda Servizi Comunali S.r.l.,364,Textile
azienda Speciale Servizi Sanitari Di Vergiate,365,Textile
Azienda Speciale Multiservizi Senago,366,Textile
Azienda Farmaceutica Municipale S.r.l.,367,Textile
Ticinese Farma S.r.l.,371,Textile
Linfa S.r.l.,373,Textile
Piusalute Srl,375,Textile
Azienda Speciale Farmaceutica Di Lainate,376,Textile
Azienda Speciale Solaro Multiservizi,377,Textile
Azienda Speciale Servizi Di Agrate Brianza,379,Textile
Farma 4 S.r.l.,380,Textile
Azienda Ghedi Servizi S.p.a. (o In Forma Abbreviata A.g.s. S.p.a.),384,Textile
Cassano Magnago Servizi S.p.a.,385,Textile
Somma Patrimonio E Servizi S.r.l.,386,Textile
Azienda Farmaceutica Municipalizzata Di Crema,387,Textile
Asf San Giuliano Milanese - Azienda Speciale Servizi Farmaceutici E Socio-sanitari,391,Textile
Azienda Servizi Farmaceutici S.r.l. - A.s.f. S.r.l.,392,Textile
Ygea S.r.l.,393,Textile
Assp Spa,394,Textile
Canturina Servizi Territoriali  - S.p.a.,395,Textile
Ambiente Energia Brianza Societa' Per Azioni In Acronimo a E B  S.p.a.,399,Textile
Gaia Servizi S.r.l.,401,Textile
Societa' Cooperativa Farmaceutica In Sigla co.fa. Farmaceutici,402,Textile
"Azienda Farmaceutica Municipale Di Cremona S.p.a. O In Forma Abbreviata, a.f.m. Cremona S.p.a.",403,Textile
Tessitura Molteni Palmira S.r.l.,404,Textile
Sovratex S.r.l.,405,Textile
Nord Ciniglia S.r.l.,406,Textile
G.b.c. S.r.l.,407,Textile
Eurostick S.p.a.,408,Textile
Pizval S.r.l.,409,Textile
Imatex S.p.a.,410,Textile
Torcitura Di Domaso S.r.l.,411,Textile
Stil S.r.l.,412,Textile
Tessitura Randi S.r.l.,413,Textile
T.i.b.a. - Societa' A Responsabilita' Limitata,200,Textile
Manifattura Di Cene S.p.a.,414,Textile
Vigano' - S.p.a.,415,Textile
Societa' Serica Trudel S.p.a.,416,Textile
Tessitura Taiana Virgilio - S.p.a. O In Abbreviato Taiana S.p.a.,417,Textile
Successori Giuseppe Cattaneo Societa' Per Azioni,418,Textile
de Amtex S.p.a.,419,Textile
Seterie Argenti - S.p.a.,420,Textile
Cifra S.p.a.,421,Textile
Eurotessile - S.p.a.,422,Textile
eusebio S.p.a.,423,Textile
I.s.e.r. S.r.l. - Industria Serica Enrico Ratti,424,Textile
Gi.tessil Foderami S.r.l.,425,Textile
T.f.t. - Tintoria Finissaggio Tulli S.p.a.,426,Textile
Iafil - Industria Ambrosiana Filati - Societa' Per Azioni,427,Textile
Tessitura Attilio Bottinelli S.r.l.,428,Textile
tessitura Antonio Ghiringhelli & C. S.p.a.,429,Textile
Aurora S.r.l.,432,Textile
Mairle S.r.l.,435,Textile
Nodo Bandiera S.r.l.,436,Textile
M&f Health S.r.l.,439,Textile
Ariston Thermo S.p.a.,450,Electronics
La Triveneta Cavi S.p.a.,451,Electronics
General Cavi - Societa' Per Azioni,452,Electronics
Schneider Electric S.p.a.,453,Electronics
Bticino S.p.a.,454,Electronics
Electrolux Italia S.p.a.,455,Electronics
Prysmian Powerlink S.r.l.,456,Electronics
Whirlpool Emea S.p.a.,457,Electronics
Gewiss - S.p.a.,458,Electronics
Philips Innovations S.p.a.,459,Electronics
Faac - S.p.a.,460,Electronics
Elektrisola Atesina S.r.l.,461,Electronics
Ledvance Spa,462,Electronics
Flowserve S.r.l.,463,Electronics
Tecnikabel S.p.a.,464,Electronics
Pentax Industries S.p.a. In Breve Pentax S.p.a.,465,Electronics
Meneghetti - S.p.a. Unipersonale -,466,Electronics
Green Power Systems S.r.l.,467,Electronics
Amg S.p.a.,468,Electronics
Siemens Gamesa Renewable Energy Wind Societa' A Responsabilita' Limitata In Sigla siemens Gamesa Renewable Energy Wind S.r.l.,469,Electronics
Nidec Fir S.r.l.,470,Electronics
Itw Construction Products Italy S.r.l.,471,Electronics
Saga Coffee S.p.a.,472,Electronics
Pecso Cavi S.r.l.,473,Electronics
Commscope Italy S.r.l.,474,Electronics
Lovato Electric S.p.a.  O Piu' Brevemente Lovato S.p.a.,475,Electronics
Linea Light S.r.l.,476,Electronics
Aec - Illuminazione S.r.l.,477,Electronics
Artemide S.p.a.,478,Electronics
Came S.p.a.,479,Electronics
Visa S.p.a.,480,Electronics
Borri S.p.a.,481,Electronics
Col Giovanni Paolo - Societa' Per Azioni O Brevemente Col Giovanni Paolo S.p.a. O Col S.p.a.,482,Electronics
Ipg Photonics (italy) S.r.l.,483,Electronics
Siemens Transformers S.r.l.,484,Electronics
Bertazzoni Societa' Per Azioni,485,Electronics
Enersys S.r.l,486,Electronics
Tesar S.r.l.,487,Electronics
Sirius S.p.a.,488,Electronics
Microelettrica Scientifica S.p.a.,489,Electronics
Hager Bocchiotti S.p.a.,490,Electronics
Fisher & Paykel Appliances Italy S.p.a.,491,Electronics
Comelit Group S.p.a.,492,Electronics
Flos Societa' Per Azioni,493,Electronics
Marelli Motori S.p.a.,494,Electronics
Nexans Italia  S.p.a.,495,Electronics
Dkc Europe S.r.l.,496,Electronics
Lafert S.p.a.,497,Electronics
Cebi Motors S.p.a.,498,Electronics
Ecm S.p.a.,499,Electronics
Ab Impianti Srl,500,Electronics
Cembre S.p.a.,501,Electronics
Indel B S.p.a.,502,Electronics
Legnano Teknoelectric Company Spa,503,Electronics
Osram S.p.a. -  Societa' Riunite Osram Edison Clerici - In Forma Abbreviata osram S.p.a,504,Electronics
Tamini Trasformatori S.r.l.,505,Electronics
Leoni Italy S.r.l.,506,Electronics
Tratos Cavi -s.p.a.-,507,Electronics
Bonferraro - S.p.a.,508,Electronics
Nice S.p.a.,509,Electronics
Italian Cable Company S.p.a.,510,Electronics
Came S.p.a.,511,Electronics
Eltek - S.p.a.,512,Electronics
Rps S.p.a.,513,Electronics
Disano Illuminazione S.p.a.,514,Electronics
Societa' Italiana Accumulatori Produzione Ricerca Avezzano - Siapra S.p.a.,515,Electronics
Bucci Automations S.p.a.,516,Electronics
Nidec Sole Motor Corporation S.r.l.,517,Electronics
Essex Italy S.p.a.,518,Electronics
De Angeli Prodotti S.r.l.,519,Electronics
Finder S.p.a.,520,Electronics
Vestas Blades Italia  Srl - Unipersonale -,521,Electronics
Iguzzini Illuminazione S.p.a.,522,Electronics
Schneider Electric Industrie Italia S.p.a.,453,Electronics
Grid Solutions S.p.a.,523,Electronics
Midac S.p.a.,524,Electronics
Ask Industries Societa' Per Azioni,525,Electronics
Carel Industries S.p.a.,526,Electronics
Elemaster S.p.a. Tecnologie Elettroniche,527,Electronics
"I.c.e.l. - Industria Conduttori Elettrici Lugo - Societa' Coopera Tiva Per Azioni, Essa Potra' Utilizzare Anche La Denominazione In Sigla i.c.e.l . S.c.p.a.",528,Electronics
Signify Italy S.p.a.,529,Electronics
Vimar S.p.a.,530,Electronics
Irce S.p.a.,531,Electronics
Ducati Energia S.p.a.,532,Electronics
Exide Technologies S.r.l.,533,Electronics
Baxi S.p.a. - Unipersonale,534,Electronics
I.r.c.a. S.p.a. Industria Resistenze Corazzate E Affini,535,Electronics
Prysmian Cavi E Sistemi  Italia S.r.l.,456,Electronics
Bruno Baldassari & Fratelli S.p.a.,536,Electronics
Sews - Cabind S.p.a.,537,Electronics
Elica  S.p.a.,538,Electronics
G.ecol. Cables S.r.l.,539,Electronics
smeg S.p.a.,540,Electronics
Fiamm Energy Technology S.p.a.,541,Electronics
Lg Electronics Italia S.p.a.,542,Electronics
Candy Hoover Group S.r.l.,543,Electronics
De' Longhi Appliances S.r.l.,544,Electronics
Abb S.p.a.,545,Electronics
